run_accession	sample_accession	study_accession	tax_id	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
SRR18360193	SAMN26664875	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/093/SRR18360193/SRR18360193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/093/SRR18360193/SRR18360193_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/093/SRR18360193	LC_15_C	
SRR18360198	SAMN26664886	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/098/SRR18360198/SRR18360198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/098/SRR18360198/SRR18360198_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/098/SRR18360198	LC_20_N	
SRR18360199	SAMN26664885	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/099/SRR18360199/SRR18360199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/099/SRR18360199/SRR18360199_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/099/SRR18360199	LC_20_C	
SRR18360201	SAMN26664883	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/001/SRR18360201/SRR18360201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/001/SRR18360201/SRR18360201_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/001/SRR18360201	LC_19_C	
SRR18360204	SAMN26664880	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/004/SRR18360204/SRR18360204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/004/SRR18360204/SRR18360204_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/004/SRR18360204	LC_17_N	
SRR18360206	SAMN26664816	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/006/SRR18360206/SRR18360206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/006/SRR18360206/SRR18360206_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/006/SRR18360206	LC_S_N4	
SRR18360209	SAMN26664873	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/009/SRR18360209/SRR18360209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/009/SRR18360209/SRR18360209_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/009/SRR18360209	LC_14_C	
SRR18360210	SAMN26664855	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/010/SRR18360210/SRR18360210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/010/SRR18360210/SRR18360210_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/010/SRR18360210	LC_5_C	
SRR18360212	SAMN26664857	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/012/SRR18360212/SRR18360212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/012/SRR18360212/SRR18360212_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/012/SRR18360212	LC_6_C	
SRR18360213	SAMN26664858	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/013/SRR18360213/SRR18360213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/013/SRR18360213/SRR18360213_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/013/SRR18360213	LC_6_N	
SRR18360214	SAMN26664814	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/014/SRR18360214/SRR18360214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/014/SRR18360214/SRR18360214_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/014/SRR18360214	LC_S_N3	
SRR18360216	SAMN26664860	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/016/SRR18360216/SRR18360216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/016/SRR18360216/SRR18360216_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/016/SRR18360216	LC_7_N	
SRR18360228	SAMN26664871	PRJNA816198	9606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/028/SRR18360228/SRR18360228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR183/028/SRR18360228/SRR18360228_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR183/028/SRR18360228	LC_13_C	
